18:18:13.930 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.930 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.931 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.931 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.931 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.933 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.933 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.933 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.934 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.934 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.935 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.937 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.938 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.938 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.940 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.946 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.949 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.949 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.950 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.951 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.951 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.951 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.952 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.952 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.952 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
